date,is_promo_period,day_of_week,new_enterpriser_count,new_bee_count,transaction_volume_online,transaction_volume_offline,sales_ep_thousand_idr,top_product_id,new_bee_count_outlier,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,day_of_week_num,day_of_month,month,week_of_year,is_weekend,quarter,promo_lag1,promo_next1,days_since_start
2022-04-23,1,Saturday,289,820,6666,2403,1770603,Probiotic G,0,259.0,247.0,246.0,174.0,143.0,167.0,284.0,233.71428571428572,52.5411403432723,186.85714285714286,62.61218503043737,180.03333333333333,58.228730515710744,159.3,52.65137619977599,5,23,4,16,1,2,1.0,1.0,112
2022-04-24,1,Sunday,305,866,5639,2518,1664579,Collagen F,0,289.0,259.0,247.0,127.0,156.0,124.0,246.0,259.14285714285717,30.905385568584396,197.5,69.27287181307544,183.36666666666667,62.4187655985808,160.06666666666666,54.25859844870652,6,24,4,16,1,2,1.0,0.0,113
2022-04-25,0,Monday,112,317,2385,1301,788672,Skincare B,0,305.0,289.0,259.0,210.0,108.0,89.0,163.0,245.14285714285714,62.709458540767194,197.78571428571428,68.882484735212,177.63333333333333,60.73315479994451,158.26666666666668,53.111457956754826,0,25,4,17,0,2,1.0,0.0,114
2022-04-26,0,Tuesday,139,395,2965,1458,876051,Protein E,0,112.0,305.0,289.0,258.0,131.0,120.0,192.0,228.14285714285714,73.79346983626805,198.35714285714286,68.3166914426507,174.06666666666666,59.71306870956008,157.2,52.51371142511687,1,26,4,17,0,2,0.0,0.0,115
2022-04-27,0,Wednesday,115,326,3242,1612,910609,Probiotic G,0,139.0,112.0,305.0,246.0,112.0,142.0,243.0,209.42857142857142,84.36400722041198,198.57142857142858,68.02908233951166,172.46666666666667,60.655461893149116,157.07777777777778,52.599873494481486,2,27,4,17,0,2,0.0,0.0,116
2022-04-28,0,Thursday,114,323,2903,1515,867561,Supplement A,0,115.0,139.0,112.0,247.0,140.0,119.0,239.0,190.42857142857142,89.32311597575992,196.71428571428572,70.07515588657284,169.86666666666667,61.45574989699743,156.72222222222223,52.783430277504465,3,28,4,17,0,2,0.0,0.0,117
2022-04-29,0,Friday,153,433,2867,1448,901554,Skincare B,0,114.0,115.0,139.0,259.0,159.0,156.0,153.0,175.28571428571428,84.62212926832304,196.28571428571428,70.34139668724313,166.86666666666667,59.94062195973229,156.51111111111112,52.75962970720556,4,29,4,17,0,2,0.0,0.0,118
2022-04-30,0,Saturday,183,518,3986,1753,1063462,Energy H,0,153.0,114.0,115.0,289.0,174.0,143.0,167.0,160.14285714285714,68.90676931291199,196.92857142857142,70.16295788619999,165.0,58.47074128319991,156.95555555555555,52.81298595651401,5,30,4,17,1,2,0.0,0.0,119
2022-05-01,0,Sunday,126,358,3695,1727,1126393,Protein E,0,183.0,153.0,114.0,305.0,127.0,156.0,124.0,134.57142857142858,26.120599424318886,196.85714285714286,70.24009061547645,164.1,58.86826321366297,156.87777777777777,52.85380042840196,6,1,5,17,1,2,0.0,1.0,120
2022-05-02,1,Monday,203,576,4500,1698,1163932,Skincare B,0,126.0,183.0,153.0,112.0,210.0,108.0,89.0,147.57142857142858,34.36013747962981,196.35714285714286,70.16421084510604,165.3,59.29479246774631,158.06666666666666,52.672146872704694,0,2,5,18,0,2,0.0,1.0,121
2022-05-03,1,Tuesday,249,706,5123,1927,1404344,Vitamin C,0,203.0,126.0,183.0,139.0,258.0,131.0,120.0,163.28571428571428,50.940207713600614,195.71428571428572,69.5949031858696,169.46666666666667,60.66853603283845,159.83333333333334,53.02877107568826,1,3,5,18,0,2,1.0,1.0,122
2022-05-04,1,Wednesday,226,643,5843,1786,1572227,Skincare B,0,249.0,203.0,126.0,115.0,246.0,112.0,142.0,179.14285714285714,50.680136054239284,194.28571428571428,68.68257932908982,174.03333333333333,59.54857960802536,161.34444444444443,52.95411647771192,2,4,5,18,0,2,1.0,1.0,123
2022-05-05,1,Thursday,212,601,4824,1709,1232036,Vitamin C,0,226.0,249.0,203.0,114.0,247.0,140.0,119.0,193.14285714285714,42.57318628522189,191.78571428571428,67.23801416944556,177.1,59.03672147704868,162.22222222222223,53.13345034503255,3,5,5,18,0,2,1.0,1.0,124
2022-05-06,1,Friday,275,781,5326,1861,1433993,Protein E,0,212.0,226.0,249.0,153.0,259.0,159.0,156.0,210.57142857142858,48.02380362159716,192.92857142857142,68.5907195849907,181.53333333333333,61.261864907575436,163.93333333333334,54.25880552986851,4,6,5,18,0,2,1.0,1.0,125
2022-05-07,1,Saturday,350,992,7025,2255,1744786,Supplement A,0,275.0,212.0,226.0,183.0,289.0,174.0,143.0,234.42857142857142,68.96099656776332,197.28571428571428,76.62940645774275,189.23333333333332,67.34608676306924,166.3111111111111,57.60669523441013,5,7,5,18,1,2,1.0,1.0,126
2022-05-08,1,Sunday,248,704,5812,1900,1550297,Skincare B,0,350.0,275.0,212.0,126.0,305.0,127.0,156.0,251.85714285714286,49.72400014556558,193.21428571428572,71.83011857198863,192.3,67.8731829629143,168.14444444444445,57.55106401092001,6,8,5,18,1,2,1.0,0.0,127
2022-05-09,0,Monday,122,347,2485,1295,713620,Probiotic G,0,248.0,350.0,275.0,203.0,112.0,210.0,108.0,240.28571428571428,68.76703252216703,193.92857142857142,71.0053782206936,191.6,68.5045178474912,168.34444444444443,57.35659422745811,0,9,5,19,0,2,1.0,0.0,128
2022-05-10,0,Tuesday,125,356,3278,1506,952407,Vitamin C,0,122.0,248.0,350.0,249.0,139.0,258.0,131.0,222.57142857142858,81.02645070769007,192.92857142857142,71.93101854256925,190.56666666666666,69.28934004360383,168.38888888888889,57.32103452269122,1,10,5,19,0,2,0.0,0.0,129
2022-05-11,0,Wednesday,112,317,2552,1669,841379,Collagen F,0,125.0,122.0,248.0,226.0,115.0,246.0,112.0,206.28571428571428,91.05806624660686,192.71428571428572,72.18504913540845,190.7,69.12864070352634,168.24444444444444,57.4478387954861,2,11,5,19,0,2,0.0,0.0,130
2022-05-12,0,Thursday,121,345,2573,1532,766026,Supplement A,0,112.0,125.0,122.0,212.0,114.0,247.0,140.0,193.28571428571428,96.44292662107526,193.21428571428572,71.61991404569054,190.36666666666667,69.44979994675057,167.45555555555555,57.60523562174017,3,12,5,19,0,2,0.0,0.0,131
2022-05-13,0,Friday,139,395,3000,1830,910713,Collagen F,0,121.0,112.0,125.0,275.0,153.0,259.0,159.0,173.85714285714286,90.76972434211129,192.21428571428572,72.31892886739601,191.26666666666668,68.56858300061802,166.42222222222222,57.26755219434547,4,13,5,19,0,2,0.0,0.0,132
2022-05-14,0,Saturday,168,476,4109,1734,1172556,Vitamin C,0,139.0,121.0,112.0,350.0,183.0,289.0,174.0,147.85714285714286,47.803167856773555,191.14285714285714,72.57659841410764,192.2,68.03518359567019,165.22222222222223,56.06452498058264,5,14,5,19,1,2,0.0,0.0,133
2022-05-15,0,Sunday,146,414,3862,1999,1137980,Herbal D,0,168.0,139.0,121.0,248.0,126.0,305.0,127.0,133.28571428571428,19.146055169967482,192.57142857142858,71.38273254432418,191.76666666666668,68.29483917157476,164.7111111111111,56.02732969639782,6,15,5,19,1,2,0.0,0.0,134
2022-05-16,0,Monday,109,309,2629,1391,768759,Supplement A,0,146.0,168.0,139.0,122.0,203.0,112.0,210.0,131.42857142857142,20.9670944009669,185.85714285714286,74.67144150091244,189.6,69.89035748202691,163.65555555555557,56.17351951437357,0,16,5,20,0,2,0.0,0.0,135
2022-05-17,0,Tuesday,134,379,2652,1333,746199,Supplement A,0,109.0,146.0,168.0,125.0,249.0,139.0,258.0,132.71428571428572,20.782318492044432,177.64285714285714,73.50730695532376,189.83333333333334,69.68554163270655,163.27777777777777,56.25823840349666,1,17,5,20,0,2,0.0,0.0,136
2022-05-18,0,Wednesday,124,352,3040,1386,849545,Protein E,0,134.0,109.0,146.0,112.0,226.0,115.0,246.0,134.42857142857142,19.225479125864663,170.35714285714286,73.40048956329842,186.96666666666667,70.5903594733354,162.75555555555556,56.403703582103326,2,18,5,20,0,2,0.0,0.0,137
2022-05-19,0,Thursday,136,385,2917,1562,952760,Collagen F,0,124.0,134.0,109.0,121.0,212.0,114.0,247.0,136.57142857142858,18.292595431459645,164.92857142857142,72.89240150936317,182.9,69.86753476252832,163.0222222222222,56.21747054969869,3,19,5,20,0,2,0.0,0.0,138
2022-05-20,0,Friday,143,405,3351,1806,1019818,Herbal D,0,136.0,124.0,134.0,139.0,275.0,153.0,259.0,137.14285714285714,18.442962265939492,155.5,65.74630729612832,179.46666666666667,69.1872687777133,162.96666666666667,56.234950546091405,4,20,5,20,0,2,0.0,0.0,139
2022-05-21,0,Saturday,171,484,4254,2080,1185359,Supplement A,0,143.0,136.0,124.0,168.0,350.0,183.0,289.0,137.57142857142858,19.29470689815539,142.71428571428572,35.42582406930041,176.93333333333334,68.01061445216418,163.55555555555554,56.03592569761841,5,21,5,20,1,2,0.0,0.0,140
2022-05-22,0,Sunday,139,395,3756,1783,1072673,Supplement A,0,171.0,143.0,136.0,146.0,248.0,126.0,305.0,136.57142857142858,18.963624327091544,134.92857142857142,18.38671880927757,172.93333333333334,66.53022820017844,163.93333333333334,55.75060840097307,6,22,5,20,1,2,0.0,0.0,141
2022-05-23,0,Monday,112,318,2606,1393,799856,Vitamin C,0,139.0,171.0,143.0,109.0,122.0,203.0,112.0,137.0,18.257418583505828,134.21428571428572,19.107705137049,167.03333333333333,63.66912494501847,163.82222222222222,55.84500576742331,0,23,5,21,0,2,0.0,0.0,142
2022-05-24,0,Tuesday,107,305,2555,1451,779846,Skincare B,0,112.0,139.0,171.0,134.0,125.0,249.0,139.0,133.14285714285714,21.551709688008515,132.92857142857142,20.341183256235347,160.43333333333334,58.96269032680513,163.73333333333332,55.92989190932485,1,24,5,21,0,2,0.0,0.0,143
2022-05-25,0,Wednesday,108,307,3376,1632,1012897,Energy H,0,107.0,112.0,139.0,124.0,112.0,226.0,115.0,130.85714285714286,23.44801748143183,132.64285714285714,20.682981271705664,160.3,59.080395254672105,163.6,56.04949658485549,2,25,5,21,0,2,0.0,0.0,144
2022-05-26,0,Thursday,150,425,3120,1380,837931,Collagen F,0,108.0,107.0,112.0,136.0,121.0,212.0,114.0,132.85714285714286,24.53180637070033,134.71428571428572,20.878507798980774,160.66666666666666,58.97768913828314,164.15555555555557,55.65845102979602,3,26,5,21,0,2,0.0,0.0,145
2022-05-27,0,Friday,135,385,3351,1802,981361,Herbal D,0,150.0,108.0,107.0,143.0,139.0,275.0,153.0,131.71428571428572,24.164121376635464,134.42857142857142,20.842686545107266,161.33333333333334,58.55521021803412,164.0,55.72081288678444,4,27,5,21,0,2,0.0,0.0,146
2022-05-28,0,Saturday,170,483,3790,1667,1066509,Skincare B,0,135.0,150.0,108.0,171.0,168.0,350.0,183.0,131.57142857142858,23.894609872362217,134.57142857142858,21.095804488878354,163.2,57.882997324865194,164.26666666666668,55.691122484607035,5,28,5,21,1,2,0.0,0.0,147
2022-05-29,0,Sunday,159,451,3880,1662,1140600,Skincare B,0,170.0,135.0,150.0,139.0,146.0,248.0,126.0,134.42857142857142,26.031116910710104,135.5,21.908024522114076,163.4,57.85689837569223,165.22222222222223,54.83884004087533,6,29,5,21,1,2,0.0,0.0,148
2022-05-30,0,Monday,122,347,2698,1251,784448,Skincare B,0,159.0,170.0,135.0,112.0,109.0,122.0,203.0,135.85714285714286,24.84236013632496,136.42857142857142,20.95311354030661,161.36666666666667,58.21510843908752,165.1888888888889,54.86446926304494,0,30,5,22,0,2,0.0,0.0,149
2022-05-31,0,Tuesday,119,337,3391,1443,968916,Detox I,0,122.0,159.0,170.0,107.0,134.0,125.0,249.0,137.57142857142858,22.853571149510206,135.35714285714286,21.464128009514024,161.13333333333333,58.37555778856801,164.95555555555555,55.017241651153064,1,31,5,22,0,2,0.0,0.0,150
2022-06-01,0,Wednesday,142,404,3192,1535,901096,Skincare B,0,119.0,122.0,159.0,108.0,124.0,112.0,226.0,142.42857142857142,18.76927580610735,136.64285714285714,21.26972258636939,159.1,57.92763023659429,165.35555555555555,54.713823636069336,2,1,6,22,0,2,0.0,0.0,151
2022-06-02,0,Thursday,147,418,3271,1699,949800,Herbal D,0,142.0,119.0,122.0,150.0,136.0,121.0,212.0,142.0,18.601075237738605,137.42857142857142,21.446585834487905,155.7,55.407674060797696,165.3111111111111,54.72723875432513,3,2,6,22,0,2,0.0,0.0,152
2022-06-03,0,Friday,168,477,3343,1804,970944,Detox I,0,147.0,142.0,119.0,135.0,143.0,139.0,275.0,146.71428571428572,20.605131122403524,139.21428571428572,22.935288804100235,153.76666666666668,53.860409190433444,165.1888888888889,54.708603855611315,4,3,6,22,0,2,0.0,0.0,153
2022-06-04,0,Saturday,179,509,3723,1812,1115441,Herbal D,0,168.0,147.0,142.0,170.0,171.0,168.0,350.0,148.0,22.494443758404298,139.78571428571428,23.868803493677547,152.66666666666666,52.95953779705946,165.35555555555555,54.727786240323475,5,4,6,22,1,2,0.0,0.0,154
2022-06-05,0,Sunday,136,386,4275,2093,1266235,Supplement A,0,179.0,168.0,147.0,159.0,139.0,146.0,248.0,144.71428571428572,22.298836185731943,139.57142857142858,23.889857151630018,148.03333333333333,47.70779111773405,165.64444444444445,54.500450696231695,6,5,6,22,1,2,0.0,1.0,155
2022-06-06,1,Monday,232,659,4846,1786,1328165,Skincare B,0,136.0,179.0,168.0,122.0,112.0,109.0,122.0,160.42857142857142,37.32227727446973,148.14285714285714,33.019474773014295,144.1,33.1145868473242,166.7,54.85823404646404,0,6,6,23,0,2,0.0,1.0,156
2022-06-07,1,Tuesday,280,795,6686,1866,1723552,Skincare B,0,232.0,136.0,179.0,119.0,107.0,134.0,125.0,183.42857142857142,53.59681937968964,160.5,46.18482934404408,145.16666666666666,36.87825574951245,168.26666666666668,56.05851677819155,1,7,6,23,0,2,1.0,1.0,157
2022-06-08,1,Wednesday,288,817,5861,2252,1711200,Skincare B,0,280.0,232.0,136.0,142.0,108.0,124.0,112.0,204.28571428571428,62.462560214671505,173.35714285714286,54.712686115543946,150.7,44.87004222925561,169.95555555555555,57.350276217923806,2,8,6,23,0,2,1.0,1.0,158
2022-06-09,1,Thursday,276,784,5700,2287,1599254,Collagen F,0,288.0,280.0,232.0,147.0,150.0,136.0,121.0,222.71428571428572,61.770311870440395,182.35714285714286,60.6193763676995,155.73333333333332,50.05716272652589,171.35555555555555,58.38622107557262,3,9,6,23,0,2,1.0,1.0,159
2022-06-10,1,Friday,249,707,5937,2243,1758430,Vitamin C,0,276.0,288.0,280.0,168.0,135.0,143.0,139.0,234.28571428571428,57.232608088147394,190.5,61.42005435460872,160.3,52.135863624400386,172.06666666666666,58.94137250911642,4,10,6,23,0,2,1.0,1.0,160
2022-06-11,1,Saturday,280,794,7579,2471,2025653,Herbal D,0,249.0,276.0,288.0,179.0,170.0,171.0,168.0,248.71428571428572,53.58704534280164,198.35714285714286,65.49645573835068,165.6,55.94554002130882,173.75555555555556,59.83541304430236,5,11,6,23,1,2,1.0,1.0,161
2022-06-12,1,Sunday,291,825,6540,2167,1792988,Herbal D,0,280.0,249.0,276.0,136.0,159.0,139.0,146.0,270.85714285714283,21.912162310984165,207.78571428571428,68.81209483516986,170.66666666666666,60.17636913522495,175.76666666666668,60.703932456887294,6,12,6,23,1,2,1.0,1.0,162
2022-06-13,1,Monday,188,533,5264,1451,1392295,Protein E,0,291.0,280.0,249.0,232.0,122.0,112.0,109.0,264.57142857142856,36.42278198626654,212.5,64.6157280210656,171.33333333333334,60.25653968419235,176.44444444444446,60.493496931787654,0,13,6,24,0,2,1.0,1.0,163
2022-06-14,1,Tuesday,279,791,5660,2127,1632329,Detox I,0,188.0,291.0,280.0,280.0,119.0,107.0,134.0,264.42857142857144,36.35407883056731,223.92857142857142,60.845914199108634,175.76666666666668,63.15153277596693,178.15555555555557,61.19592978884784,1,14,6,24,0,2,1.0,1.0,164
2022-06-15,1,Wednesday,250,710,5048,2029,1434546,Probiotic G,0,279.0,188.0,291.0,288.0,142.0,108.0,124.0,259.0,35.061850112813296,231.64285714285714,56.339093057959516,180.46666666666667,63.257946663577016,179.77777777777777,61.14318758671865,2,15,6,24,0,2,1.0,1.0,165
2022-06-16,1,Thursday,285,808,5760,2044,1550716,Protein E,0,250.0,279.0,188.0,276.0,147.0,150.0,136.0,260.2857142857143,35.943076689465734,241.5,52.31965360976858,185.5,65.40418103265053,181.34444444444443,62.016337302234454,3,16,6,24,0,2,1.0,1.0,166
2022-06-17,1,Friday,262,744,6631,1964,1711133,Detox I,0,285.0,250.0,279.0,249.0,168.0,135.0,143.0,262.14285714285717,35.596950110127565,248.21428571428572,48.01630904251129,190.1,65.78143014349973,182.63333333333333,62.47722281589118,4,17,6,24,0,2,1.0,1.0,167
2022-06-18,1,Saturday,303,859,7947,2715,2244915,Probiotic G,0,262.0,285.0,250.0,280.0,179.0,170.0,171.0,265.42857142857144,38.46581661188416,257.07142857142856,45.64489066649258,195.66666666666666,68.07163231799849,184.14444444444445,63.727044531690524,5,18,6,24,1,2,1.0,1.0,168
2022-06-19,1,Sunday,335,950,6679,2265,1847486,Collagen F,0,303.0,262.0,285.0,291.0,136.0,159.0,139.0,271.7142857142857,46.165334345568795,271.2857142857143,34.719598924102904,202.06666666666666,71.8691019569046,185.92222222222222,65.67116374646659,6,19,6,24,1,2,1.0,0.0,169
2022-06-20,0,Monday,128,362,2268,1147,696437,Energy H,0,335.0,303.0,262.0,188.0,232.0,122.0,112.0,263.14285714285717,65.72525788317287,263.85714285714283,51.05480786951827,200.63333333333333,72.93099399471713,184.85555555555555,65.82519600778389,0,20,6,25,0,2,1.0,0.0,170
2022-06-21,0,Tuesday,160,454,3411,1556,933564,Herbal D,0,128.0,335.0,303.0,279.0,280.0,119.0,107.0,246.14285714285714,75.58974483228245,255.28571428571428,57.7680089421721,201.33333333333334,72.41800754019644,184.38888888888889,65.85115910942592,1,21,6,25,0,2,0.0,0.0,171
2022-06-22,0,Wednesday,154,437,3123,1681,1018941,Supplement A,0,160.0,128.0,335.0,250.0,288.0,142.0,108.0,232.42857142857142,83.10807650855855,245.71428571428572,62.81159688542174,202.73333333333332,71.02400436051386,183.26666666666668,65.49394002329741,2,22,6,25,0,2,0.0,0.0,172
2022-06-23,0,Thursday,150,427,2981,1529,854045,Vitamin C,0,154.0,160.0,128.0,285.0,276.0,147.0,150.0,213.14285714285714,84.52697512516082,236.71428571428572,67.02402390352134,204.16666666666666,69.4416566490238,182.65555555555557,65.5454488707295,3,23,6,25,0,2,0.0,0.0,173
2022-06-24,0,Friday,150,426,3735,1547,989683,Probiotic G,0,150.0,154.0,160.0,262.0,249.0,168.0,135.0,197.14285714285714,84.33747401843117,229.64285714285714,70.74722842394853,205.56666666666666,67.84093125851813,181.16666666666666,64.7344185408367,4,24,6,25,0,2,0.0,0.0,174
2022-06-25,0,Saturday,182,515,3755,2288,1143900,Vitamin C,0,150.0,150.0,154.0,303.0,280.0,179.0,170.0,179.85714285714286,70.24819943464419,222.64285714285714,70.22776915465549,206.63333333333333,67.18552970914824,180.45555555555555,64.36468448798962,5,25,6,25,1,2,0.0,0.0,175
2022-06-26,0,Sunday,146,415,3479,1601,1062426,Probiotic G,0,182.0,150.0,150.0,335.0,291.0,136.0,159.0,152.85714285714286,16.242214252051152,212.28571428571428,70.06307989829726,207.0,66.81007563905719,180.26666666666668,64.44138526468421,6,26,6,25,1,2,0.0,0.0,176
2022-06-27,0,Monday,120,341,2371,1298,716801,Herbal D,0,146.0,182.0,150.0,128.0,188.0,232.0,122.0,151.71428571428572,18.41841728374359,207.42857142857142,74.11603614054677,205.33333333333334,68.37035722538262,179.46666666666667,64.74031097522267,0,27,6,26,0,2,0.0,0.0,177
2022-06-28,0,Tuesday,143,406,3112,1473,964496,Supplement A,0,120.0,146.0,182.0,160.0,279.0,280.0,119.0,149.28571428571428,18.263937926182212,197.71428571428572,72.91663160648046,204.8,68.80527245234461,178.35555555555555,64.49532882852156,1,28,6,26,0,2,0.0,0.0,178
2022-06-29,0,Wednesday,130,370,3170,1467,937405,Herbal D,0,143.0,120.0,146.0,154.0,250.0,288.0,142.0,145.85714285714286,19.445895637456875,189.14285714285714,73.34938219325294,205.06666666666666,68.48807262548726,177.14444444444445,64.36702364436277,2,29,6,26,0,2,0.0,0.0,179
